Variable1,Variable2,Test,Statistic,p_value,Significant,DOF,Cramer_V,Power,Low_Expected,Passed_All_Filters
End Time,Age Group,Chi-square,230.99999999999994,0.4320849850012588,False,228.0,0.9999999999999999,0.9350020564606256,True,True
End Time,Gender,Chi-square,77.0,0.4463824626247387,False,76.0,1.0,0.9981648594805019,True,True
End Time,Educational Level,Chi-square,230.99999999999994,0.4320849850012588,False,228.0,0.9999999999999999,0.9350020564606256,True,True
End Time,Employment Status,Chi-square,230.99999999999994,0.4320849850012588,False,228.0,0.9999999999999999,0.9350020564606256,True,True
End Time,Living Situation,Chi-square,231.0,0.43208498500125775,False,228.0,1.0,0.9350020564606256,True,True
End Time,Physical Activity Level,Chi-square,231.00000000000003,0.43208498500125725,False,228.0,1.0,0.9350020564606256,True,True
End Time,City,Chi-square,1539.9999999999998,0.3544857621623381,False,1520.0,0.9999999999999999,0.39462888169153637,True,False
Age Group,Gender,Chi-square,3.6411864406779664,0.3029070587541914,False,3.0,0.21745835369840438,0.3284944517654788,True,False
Age Group,Educational Level,Chi-square,2.635287193973635,0.9770210382522562,False,9.0,0.10680903365765246,0.07953670548791981,True,False
Age Group,Employment Status,Chi-square,2.8731638418079095,0.9691118080496554,False,9.0,0.11152550698887295,0.08249406520154275,True,False
Age Group,Living Situation,Chi-square,10.497876124712285,0.31170121102211035,False,9.0,0.21317915280165334,0.19863956203503103,True,False
Age Group,Physical Activity Level,Chi-square,11.38734584536456,0.2500895922117569,False,9.0,0.2220267314096495,0.2143503871381878,True,False
Age Group,City,Chi-square,61.998116760828616,0.40471729838110165,False,60.0,0.5180638144550755,0.5220722006451212,True,False
Gender,Educational Level,Chi-square,5.164766328828829,0.1601221554379757,False,3.0,0.2589881993207169,0.45364671666644313,True,False
Gender,Employment Status,Chi-square,5.451998873873874,0.14153797168207055,False,3.0,0.26609242788959664,0.47623295540133936,True,False
Gender,Living Situation,Chi-square,6.374274274274274,0.09475489323604257,False,3.0,0.28771997286038864,0.545618081854489,True,False
Gender,Physical Activity Level,Chi-square,5.301696235808128,0.15099236278970987,False,3.0,0.26239892886145333,0.4644661310282209,True,False
Gender,City,Chi-square,28.380743243243238,0.10068831010553163,False,20.0,0.607108788505883,0.9281828615052294,True,True
Educational Level,Employment Status,Chi-square,3.701388888888889,0.9299450611470579,False,9.0,0.12658328690363718,0.09314885905772013,True,False
Educational Level,Living Situation,Chi-square,5.709008487654321,0.7686515778850884,False,9.0,0.15720789565851334,0.12116887496859238,True,False
Educational Level,Physical Activity Level,Chi-square,18.03337448600261,0.034788304782356665,True,9.0,0.279403930209404,0.3393403455046832,True,False
Educational Level,City,Chi-square,93.94618055555553,0.0033397525149007905,True,60.0,0.6377251934167429,0.7768961614650618,True,False
Employment Status,Living Situation,Chi-square,16.603395061728392,0.05530133612427955,False,9.0,0.26809731273996634,0.31171514486649177,True,False
Employment Status,Physical Activity Level,Chi-square,10.5509701289706,0.30774653717690287,False,9.0,0.21371755979214505,0.19956765572879548,True,False
Employment Status,City,Chi-square,191.75757575757578,1.0902477176583521e-15,True,60.0,0.91110887141654,0.9950104842939553,True,True
Living Situation,Physical Activity Level,Chi-square,15.828123767063834,0.07055872767317918,False,9.0,0.26176328296312995,0.2968407804125218,True,False
Living Situation,City,Chi-square,102.05362654320986,0.0005785391501174326,True,60.0,0.6646732965120132,0.8237289198353733,True,True
Physical Activity Level,City,Chi-square,60.53987808727214,0.4562056229210658,False,60.0,0.511934951255719,0.5084293758071936,True,False
