Categorical,Continuous,Test,Statistic,p_value,Significant,Groups,DOF,Effect_Size,Effect_Type,Power,Normality,Equal_Variance,Passed_Effect_Size_Filter,Passed_Power_Filter,Passed_Any_Filter,Passed_All_Filters
Age Group,Q1,Kruskal-Wallis,1.1204328416876939,0.7721439444267832,False,4,3,0.0,ε²,-0.9500000000000003,False,True,False,False,False,
Age Group,Q2,Kruskal-Wallis,1.2112489931216692,0.7503076221525471,False,4,3,0.0,ε²,-0.9500000000000003,False,True,False,False,False,
Age Group,Q3,Kruskal-Wallis,3.072009466472506,0.38065543741342095,False,4,3,0.01448661441179062,ε²,0.3974503635348259,False,True,False,False,False,
Age Group,Q4,Kruskal-Wallis,2.520785145274063,0.4715464507148106,False,4,3,0.007037637098298149,ε²,0.20475931975050493,False,True,False,False,False,
Age Group,Q5,Kruskal-Wallis,2.851842601381944,0.41503665282387137,False,4,3,0.011511386505161402,ε²,0.3200856502187705,False,True,False,False,False,
Age Group,Q6,Kruskal-Wallis,2.0716995494246513,0.557659320381253,False,4,3,0.0009689128300628552,ε²,0.06790561998421826,False,True,False,False,False,
Age Group,Q7,Kruskal-Wallis,2.3375436360705417,0.5053667215586279,False,4,3,0.004561400487439753,ε²,0.14477632120778863,False,False,False,False,False,
Age Group,Q8,Kruskal-Wallis,4.779988714972732,0.1886347624255407,False,4,3,0.03756741506719908,ε²,0.8358034640557905,False,True,True,True,True,True
Age Group,Q9,Kruskal-Wallis,2.346960176546487,0.5035843235417121,False,4,3,0.004688651034411986,ε²,0.14774659522007877,False,False,False,False,False,
Age Group,Q10,Kruskal-Wallis,1.9885293632960306,0.5747908884490274,False,4,3,0.0,ε²,-0.9500000000000003,False,True,False,False,False,
Gender,Q1,Mann-Whitney U,743.5,0.9750291799670345,False,2,N/A,0.5023648648648649,CLES,0.05125348478058252,False,True,False,False,False,
Gender,Q2,Mann-Whitney U,778.0,0.6915140747876904,False,2,N/A,0.5256756756756756,CLES,0.10832295731439727,False,True,False,False,False,
Gender,Q3,Mann-Whitney U,762.0,0.8176628459315826,False,2,N/A,0.5148648648648648,CLES,0.05391763376636996,False,True,False,False,False,
Gender,Q4,Mann-Whitney U,692.5,0.6124845740382148,False,2,N/A,0.46790540540540543,CLES,0.06340099595714735,False,True,False,False,False,
Gender,Q5,Mann-Whitney U,848.0,0.244199254970501,False,2,N/A,0.572972972972973,CLES,0.1777615576199088,False,True,False,False,False,
Gender,Q6,Mann-Whitney U,622.5,0.2228593276339208,False,2,N/A,0.4206081081081081,CLES,0.21676775828475603,False,True,False,False,False,
Gender,Q7,Mann-Whitney U,802.5,0.5100923682729492,False,2,N/A,0.5422297297297297,CLES,0.06056998145269926,False,True,False,False,False,
Gender,Q8,Mann-Whitney U,841.5,0.29033553634737397,False,2,N/A,0.5685810810810811,CLES,0.27423480296641667,False,False,False,False,False,
Gender,Q9,Mann-Whitney U,823.0,0.3693347037255663,False,2,N/A,0.5560810810810811,CLES,0.17215578046716784,False,True,False,False,False,
Gender,Q10,Mann-Whitney U,510.5,0.0168824698189698,True,2,N/A,0.34493243243243243,CLES,0.6596912656682924,False,True,True,True,True,True
Educational Level,Q1,Kruskal-Wallis,3.4238313693639193,0.33077612826097325,False,4,3,0.019240964450863773,ε²,0.5154862767063587,False,True,False,True,True,
Educational Level,Q2,Kruskal-Wallis,0.5017694491076868,0.9185024997826472,False,4,3,0.0,ε²,-0.9500000000000003,False,False,False,False,False,
Educational Level,Q3,Kruskal-Wallis,4.334093955735023,0.2275747602644402,False,4,3,0.03154181021263545,ε²,0.7565514920610285,False,True,True,True,True,True
Educational Level,Q4,Kruskal-Wallis,3.4387207949889556,0.3287972273837634,False,4,3,0.019442172905256155,ε²,0.5202429353057043,False,True,False,True,True,
Educational Level,Q5,Kruskal-Wallis,0.29804772575339394,0.9603952313157553,False,4,3,0.0,ε²,-0.9500000000000003,False,False,False,False,False,
Educational Level,Q6,Kruskal-Wallis,4.5214251726824415,0.210387153941187,False,4,3,0.03407331314435732,ε²,0.7928129616432675,False,True,True,True,True,True
Educational Level,Q7,Kruskal-Wallis,3.247447365398347,0.35502422248994153,False,4,3,0.01685739682970739,ε²,0.4575258517469479,False,True,False,False,False,
Educational Level,Q8,Kruskal-Wallis,2.3966105450662334,0.49426588055549636,False,4,3,0.005359601960354505,ε²,0.16363011050409276,False,True,False,False,False,
Educational Level,Q9,Kruskal-Wallis,2.850957418213121,0.4151799701319877,False,4,3,0.011499424570447584,ε²,0.31977290431902095,False,True,False,False,False,
Educational Level,Q10,Kruskal-Wallis,1.605347728448149,0.6581778669322946,False,4,3,0.0,ε²,-0.9500000000000003,False,True,False,False,False,
Employment Status,Q1,Kruskal-Wallis,2.7160124412540303,0.43751300271524496,False,3,3,0.009675843800730138,ε²,0.24450863624347258,False,False,False,False,False,
Employment Status,Q2,Kruskal-Wallis,7.497899424658609,0.05761244930733899,False,3,3,0.07429593817106228,ε²,0.9748447850208423,False,False,True,True,True,True
Employment Status,Q3,Kruskal-Wallis,5.227060343444916,0.1559059745237761,False,3,3,0.04360892356006643,ε²,0.8257163394523994,False,True,True,True,True,True
Employment Status,Q4,Kruskal-Wallis,0.7967827453514552,0.8502364025857173,False,3,3,0.0,ε²,-0.95,False,True,False,False,False,
Employment Status,Q5,Kruskal-Wallis,0.5506718867060674,0.9076260349895108,False,3,3,0.0,ε²,-0.95,False,True,False,False,False,
Employment Status,Q6,Kruskal-Wallis,3.7620090564700535,0.2883361476745424,False,3,3,0.023810933195541263,ε²,0.5439371516801697,False,True,False,True,True,
Employment Status,Q7,Kruskal-Wallis,0.6970448457859807,0.8738988101960964,False,3,3,0.0,ε²,-0.95,False,True,False,False,False,
Employment Status,Q8,Kruskal-Wallis,1.3858196458990513,0.708862025779168,False,3,3,0.0,ε²,-0.95,False,True,False,False,False,
Employment Status,Q9,Kruskal-Wallis,1.7834213322661807,0.6185492680363276,False,3,3,0.0,ε²,-0.95,False,True,False,False,False,
Employment Status,Q10,Kruskal-Wallis,1.316896753958877,0.7251247390612978,False,3,3,0.0,ε²,-0.95,False,True,False,False,False,
Living Situation,Q1,Kruskal-Wallis,3.358939884792704,0.3395231960123684,False,4,3,0.0183640524971987,ε²,0.4944966412926323,False,True,False,False,False,
Living Situation,Q2,Kruskal-Wallis,7.085356264518796,0.06922637080761929,False,4,3,0.06872103060160535,ε²,0.9866844469592435,False,True,True,True,True,True
Living Situation,Q3,Kruskal-Wallis,3.704881508624312,0.2951455500375952,False,4,3,0.023038939305733943,ε²,0.6011123970412051,False,True,False,True,True,
Living Situation,Q4,Kruskal-Wallis,8.981537102857958,0.029537370640874947,True,4,3,0.094345095984567,ε²,0.998974088977754,False,False,True,True,True,True
Living Situation,Q5,Kruskal-Wallis,0.26506110182242854,0.9664597751608982,False,4,3,0.0,ε²,-0.9500000000000003,False,True,False,False,False,
Living Situation,Q6,Kruskal-Wallis,3.366343655063844,0.33851506958845934,False,4,3,0.018464103446808704,ε²,0.4969121528664623,False,True,False,False,False,
Living Situation,Q7,Kruskal-Wallis,3.0897833484255726,0.3779884368868282,False,4,3,0.01472680200575098,ε²,0.4036219277685969,False,True,False,False,False,
Living Situation,Q8,Kruskal-Wallis,1.825226604945123,0.609460790719103,False,4,3,0.0,ε²,-0.9500000000000003,False,True,False,False,False,
Living Situation,Q9,Kruskal-Wallis,7.627337689848917,0.05437530905424541,False,4,3,0.07604510391687726,ε²,0.993325882276658,False,True,True,True,True,True
Living Situation,Q10,Kruskal-Wallis,8.65375287603322,0.03426688575346568,True,4,3,0.08991557940585433,ε²,0.9983553902283191,False,True,True,True,True,True
