Categorical,Continuous,Test,Statistic,p_value,Significant,Groups,Total_n,Effect_Size,Effect_Type,Rank_Biserial,Power,Passed_Effect_Size_Filter,Passed_Power_Filter,Passed_Any_Filter,Passed_All_Filters
Age Group,Q1,Kruskal-Wallis,1.1204328416876939,0.7721439444267832,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Age Group,Q2,Kruskal-Wallis,1.2112489931216692,0.7503076221525471,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Age Group,Q3,Kruskal-Wallis,3.072009466472506,0.38065543741342095,False,4,77,0.0009864310475685746,ε²,,0.06824195582618169,False,False,False,False
Age Group,Q4,Kruskal-Wallis,2.520785145274063,0.4715464507148106,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Age Group,Q5,Kruskal-Wallis,2.851842601381944,0.41503665282387137,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Age Group,Q6,Kruskal-Wallis,2.0716995494246513,0.557659320381253,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Age Group,Q7,Kruskal-Wallis,2.3375436360705417,0.5053667215586279,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Age Group,Q8,Kruskal-Wallis,4.779988714972732,0.1886347624255407,False,4,77,0.024383407054420988,ε²,,0.6291473092476679,True,True,True,False
Age Group,Q9,Kruskal-Wallis,2.346960176546487,0.5035843235417121,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Age Group,Q10,Kruskal-Wallis,1.9885293632960306,0.5747908884490274,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Gender,Q1,Mann-Whitney U,743.5,0.9750291799670345,False,2,77,0.5023648648648649,CLES,-0.004729729729729737,0.051137426027055934,False,False,False,False
Gender,Q2,Mann-Whitney U,778.0,0.6915140747876904,False,2,77,0.5256756756756756,CLES,-0.05135135135135127,0.10302014183533473,False,False,False,False
Gender,Q3,Mann-Whitney U,762.0,0.8176628459315826,False,2,77,0.5148648648648648,CLES,-0.029729729729729648,0.053535896062969476,False,False,False,False
Gender,Q4,Mann-Whitney U,692.5,0.6124845740382148,False,2,77,0.46790540540540543,CLES,0.06418918918918914,0.06212791081602801,False,False,False,False
Gender,Q5,Mann-Whitney U,848.0,0.244199254970501,False,2,77,0.572972972972973,CLES,-0.145945945945946,0.16428146443430253,True,False,True,False
Gender,Q6,Mann-Whitney U,622.5,0.2228593276339208,False,2,77,0.4206081081081081,CLES,0.15878378378378377,0.1990909016410653,True,False,True,False
Gender,Q7,Mann-Whitney U,802.5,0.5100923682729492,False,2,77,0.5422297297297297,CLES,-0.08445945945945943,0.0595342222294611,False,False,False,False
Gender,Q8,Mann-Whitney U,841.5,0.29033553634737397,False,2,77,0.5685810810810811,CLES,-0.13716216216216215,0.24955000820526066,True,False,True,False
Gender,Q9,Mann-Whitney U,823.0,0.3693347037255663,False,2,77,0.5560810810810811,CLES,-0.11216216216216224,0.16055343743555586,True,False,True,False
