Variable1,Variable2,Method,Correlation,p_value,Significant,n,Power,Normality_Var1,Normality_Var2,Passed_Correlation_Filter,Passed_Power_Filter,Passed_Any_Filter,Passed_All_Filters
Q1,Q2,Pearson,0.6718312693211274,2.2513970704144653e-11,True,77,0.9999998105036014,False,False,True,True,True,True
Q1,Q3,Pearson,-0.23505271947335035,0.03961226239961255,True,77,0.5446539839696232,False,False,False,False,False,False
Q1,Q4,Pearson,0.3140853790110378,0.005406212857818574,True,77,0.8030095393763363,False,False,False,True,True,False
Q1,Q5,Pearson,-0.19763002115358244,0.08491234159001039,False,77,0.41001069018148273,False,False,False,False,False,False
Q1,Q6,Pearson,0.42355498576539663,0.0001239279151193097,True,77,0.9744496198619937,False,False,False,True,True,False
Q1,Q7,Pearson,-0.17372488709663936,0.13078572243397177,False,77,0.32944089415134353,False,False,False,False,False,False
Q1,Q8,Pearson,-0.19478206602410575,0.0895926919272657,False,77,0.40008510736729785,False,False,False,False,False,False
Q1,Q9,Pearson,0.025857902132025323,0.8233579238036116,False,77,0.05554444934826548,False,False,False,False,False,False
Q1,Q10,Pearson,0.17670167163179645,0.12421647910431322,False,77,0.339091750242626,False,False,False,False,False,False
Q2,Q3,Pearson,-0.377558116814498,0.000711566490327052,True,77,0.9301028262263681,False,False,False,True,True,False
Q2,Q4,Pearson,0.46068325791693154,2.4868242698801855e-05,True,77,0.9906091141854041,False,False,False,True,True,False
Q2,Q5,Pearson,-0.26528625088655544,0.019713925067473378,True,77,0.652212457525737,False,False,False,True,True,False
Q2,Q6,Pearson,0.4042864067430031,0.00026578254578047913,True,77,0.9598979995823494,False,False,False,True,True,False
Q2,Q7,Pearson,-0.22197249860237814,0.052352871153817475,False,77,0.4971067850714664,False,False,False,False,False,False
Q2,Q8,Pearson,-0.17047526399044935,0.13825494593689439,False,77,0.3190488087031859,False,False,False,False,False,False
Q2,Q9,Pearson,0.09512017084228057,0.4105694204468856,False,77,0.13071285840252506,False,False,False,False,False,False
Q2,Q10,Pearson,0.30820133107635683,0.006392420845783087,True,77,0.7869973053908953,False,False,False,True,True,False
Q3,Q4,Pearson,-0.21742726134738802,0.057498507771489286,False,77,0.4806305690561404,False,False,False,False,False,False
Q3,Q5,Pearson,0.5012080043619633,3.4355264552382842e-06,True,77,0.99749050969181,False,False,False,True,True,False
Q3,Q6,Pearson,-0.24080791611235244,0.034886719714447414,True,77,0.5655110997910459,False,False,False,False,False,False
Q3,Q7,Pearson,0.3620358345482049,0.0012147592204018707,True,77,0.9067481430131177,False,False,False,True,True,False
Q3,Q8,Pearson,0.22099865306814245,0.05342235543460686,False,77,0.4935722583798421,False,False,False,False,False,False
Q3,Q9,Pearson,-0.11876554814311867,0.30359057986420007,False,77,0.17794569952491313,False,False,False,False,False,False
Q3,Q10,Pearson,-0.36354005572538506,0.001154729529113208,True,77,0.9092219404939218,False,False,False,True,True,False
Q4,Q5,Pearson,-0.055681234469131244,0.6305289045659499,False,77,0.07681297047469426,False,False,False,False,False,False
Q4,Q6,Pearson,0.37864874772886137,0.0006846375147020222,True,77,0.9315673030987776,False,False,False,True,True,False
Q4,Q7,Pearson,-0.08760104280902047,0.44870182895457095,False,77,0.11806720243046592,False,False,False,False,False,False
Q4,Q8,Pearson,0.09190733295397488,0.42662686313219605,False,77,0.1251701177876781,False,False,False,False,False,False
Q4,Q9,Pearson,0.20069020415177902,0.0801013994062079,False,77,0.42075480267264087,False,False,False,False,False,False
Q4,Q10,Pearson,0.21449526395038715,0.06103120264356247,False,77,0.47003685319668315,False,False,False,False,False,False
Q5,Q6,Pearson,-0.0556631802131882,0.6306399231187299,False,77,0.07679517498107877,False,False,False,False,False,False
Q5,Q7,Pearson,0.631973771497314,7.101465539912906e-10,True,77,0.9999962704838727,False,False,True,True,True,True
Q5,Q8,Pearson,0.2788953429633174,0.014040891999631312,True,77,0.6979433755702167,False,False,False,True,True,False
Q5,Q9,Pearson,-0.06310534965659716,0.585592720917247,False,77,0.08465122670803064,False,False,False,False,False,False
Q5,Q10,Pearson,-0.36149325641085245,0.001237095834679809,True,77,0.9058444895653854,False,False,False,True,True,False
Q6,Q7,Pearson,0.04446467886948202,0.7009902164447694,False,77,0.06692250261907783,False,False,False,False,False,False
Q6,Q8,Pearson,-0.32320574695597454,0.004142389729168469,True,77,0.826457643783198,False,False,False,True,True,False
Q6,Q9,Pearson,0.20954554073010956,0.06739318299659909,False,77,0.45223759175026107,False,False,False,False,False,False
Q6,Q10,Pearson,0.2743390021333185,0.01575855623439343,True,77,0.6828902638529848,False,False,False,True,True,False
Q7,Q8,Pearson,0.3273949234849612,0.0036555915929448617,True,77,0.8366536254914315,False,False,False,True,True,False
Q7,Q9,Pearson,-0.1386109483959735,0.22927627853669166,False,77,0.22625292578227432,False,False,False,False,False,False
Q7,Q10,Pearson,-0.1825991622533202,0.1119501740724947,False,77,0.3585612890858898,False,False,False,False,False,False
Q8,Q9,Pearson,-0.006791328499693369,0.9532551068308608,False,77,0.050189229823255965,False,False,False,False,False,False
Q8,Q10,Pearson,-0.31294523631428706,0.005586060182812645,True,77,0.7999601235914211,False,False,False,True,True,False
Q9,Q10,Pearson,0.03076997523333887,0.7905072171797211,False,77,0.05794970642643263,False,False,False,False,False,False
