Variable1,Variable2,Test,Statistic,p_value,Significant,DOF,Cramer_V,Power,Low_Expected,Passed_All_Filters
End Time,Age Group,Chi-square,228.00000000000006,0.431641491424803,False,225.0,1.0,0.9324695316489268,True,True
End Time,Gender,Chi-square,75.99999999999999,0.4460303619696075,False,75.0,0.9999999999999999,0.9979925227960573,True,True
End Time,Educational Level,Chi-square,228.00000000000003,0.4316414914248035,False,225.0,1.0,0.9324695316489268,True,True
End Time,Employment Status,Chi-square,227.99999999999997,0.4316414914248045,False,225.0,0.9999999999999999,0.9324695316489268,True,True
End Time,Living Situation,Chi-square,228.0,0.431641491424804,False,225.0,1.0,0.9324695316489268,True,True
End Time,Physical Activity Level,Chi-square,228.00000000000003,0.4316414914248035,False,225.0,1.0,0.9324695316489268,True,True
End Time,City,Chi-square,1519.9999999999998,0.3535712577723249,False,1500.0,0.9999999999999999,0.39128370857800165,True,False
Age Group,Gender,Chi-square,3.8258799913972323,0.28089017075654227,False,3.0,0.22436694543224311,0.34398003010450057,True,False
Age Group,Educational Level,Chi-square,2.846177104871162,0.9700823377366861,False,9.0,0.11172838903386009,0.08215621979795534,True,False
Age Group,Employment Status,Chi-square,2.866631299734748,0.9693484790807695,False,9.0,0.11212914115912165,0.08241222998850913,True,False
Age Group,Living Situation,Chi-square,10.392071720131222,0.31968670920811953,False,9.0,0.21349300206423652,0.19679390839386443,True,False
Age Group,Physical Activity Level,Chi-square,10.943136477738141,0.27962680159684344,False,9.0,0.21908037936259495,0.20646169495534708,True,False
Age Group,City,Chi-square,61.24761650182661,0.43096689794646914,False,60.0,0.5182951832091786,0.515062751165689,True,False
Gender,Educational Level,Chi-square,5.032736351885288,0.1694156625251699,False,3.0,0.25733288782506086,0.4431291936840118,True,False
Gender,Employment Status,Chi-square,5.589700943547097,0.13337086803798157,False,3.0,0.27119862946854967,0.48690811553996255,True,False
Gender,Living Situation,Chi-square,7.01540756442717,0.07140829905751242,False,3.0,0.3038223070624975,0.5906418388103828,True,False
Gender,Physical Activity Level,Chi-square,6.842145062834717,0.07710301449669177,False,3.0,0.30004703716414716,0.5787524558455039,True,False
Gender,City,Chi-square,27.89692017598994,0.1118620299643208,False,20.0,0.6058586791965288,0.9227703021270814,True,True
Educational Level,Employment Status,Chi-square,4.363648762584933,0.8858911288462814,False,9.0,0.13834308931860173,0.10205791130302093,True,False
Educational Level,Living Situation,Chi-square,7.937574008756737,0.5404493320688608,False,9.0,0.186584889771488,0.1555554243238763,True,False
Educational Level,Physical Activity Level,Chi-square,18.046515040352165,0.034637701758346164,True,9.0,0.2813385536252196,0.33959499923920217,True,False
Educational Level,City,Chi-square,92.52499262791198,0.004457680742936855,True,60.0,0.6370332575109816,0.7678832543536526,True,False
Employment Status,Living Situation,Chi-square,16.539425171778113,0.05643640900165974,False,9.0,0.26933499303416003,0.31048451980250646,True,False
Employment Status,Physical Activity Level,Chi-square,11.431974653698791,0.24725680023084834,False,9.0,0.2239201636950215,0.2151474583039725,True,False
Employment Status,City,Chi-square,189.29302325581403,2.583067971603834e-15,True,60.0,0.9111709818357558,0.9943838479864182,True,True
Living Situation,Physical Activity Level,Chi-square,15.61311864038932,0.07541358559671363,False,9.0,0.2616841426759049,0.2927327838276614,True,False
Living Situation,City,Chi-square,102.79517108307577,0.0004886592528776742,True,60.0,0.6714581249208785,0.8276269718173196,True,True
Physical Activity Level,City,Chi-square,63.307995485461404,0.3604591642301953,False,60.0,0.5269408381080923,0.5342395094467839,True,False
