Categorical,Continuous,Test,Statistic,p_value,Significant,Groups,Total_n,Effect_Size,Effect_Type,Rank_Biserial,Power,Passed_Effect_Size_Filter,Passed_Power_Filter,Passed_Any_Filter,Passed_All_Filters
Age Group,Q1,Kruskal-Wallis,1.318556926806727,0.7247313381993068,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Age Group,Q2,Kruskal-Wallis,1.3832471862788362,0.7094663398590697,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Age Group,Q3,Kruskal-Wallis,2.867889394709646,0.41244570084344545,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Age Group,Q4,Kruskal-Wallis,2.5636335271517536,0.46390075712247547,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Age Group,Q5,Kruskal-Wallis,3.1645633093178915,0.3669420373596822,False,4,76,0.002285601518304049,ε²,,0.09370751941816374,False,False,False,False
Age Group,Q6,Kruskal-Wallis,2.137400481355925,0.5443835249390552,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Age Group,Q7,Kruskal-Wallis,2.5345715417681474,0.4690756176709988,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Age Group,Q8,Kruskal-Wallis,4.801957196803225,0.18688662090203229,False,4,76,0.02502718328893368,ε²,,0.6356870542394545,True,True,True,False
Age Group,Q9,Kruskal-Wallis,2.1985951966698027,0.5322251266639189,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Age Group,Q10,Kruskal-Wallis,1.9448392407926587,0.5839340881338171,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Gender,Q1,Mann-Whitney U,740.5,0.8439175228937345,False,2,76,0.5131670131670132,CLES,-0.026334026334026372,0.05845590632738441,False,False,False,False
Gender,Q2,Mann-Whitney U,768.0,0.6192665837225639,False,2,76,0.5322245322245323,CLES,-0.06444906444906451,0.11421307731259311,False,False,False,False
Gender,Q3,Mann-Whitney U,739.0,0.852898057504256,False,2,76,0.5121275121275122,CLES,-0.02425502425502435,0.05144745307455867,False,False,False,False
Gender,Q4,Mann-Whitney U,694.0,0.766317076786761,False,2,76,0.48094248094248093,CLES,0.038115038115038136,0.050206387176462766,False,False,False,False
Gender,Q5,Mann-Whitney U,812.0,0.31911242215328495,False,2,76,0.5627165627165627,CLES,-0.12543312543312535,0.1222105384035535,True,False,True,False
Gender,Q6,Mann-Whitney U,614.0,0.2562009026615468,False,2,76,0.4255024255024255,CLES,0.14899514899514898,0.18393208602154373,True,False,True,False
Gender,Q7,Mann-Whitney U,769.0,0.6103079488128248,False,2,76,0.532917532917533,CLES,-0.06583506583506593,0.05314289717879306,False,False,False,False
Gender,Q8,Mann-Whitney U,839.0,0.21152244054702418,False,2,76,0.5814275814275814,CLES,-0.16285516285516288,0.31173011813293866,True,False,True,False
Gender,Q9,Mann-Whitney U,818.0,0.2865862369209048,False,2,76,0.5668745668745668,CLES,-0.13374913374913366,0.21029476742336578,True,False,True,False
Gender,Q10,Mann-Whitney U,519.0,0.03166357979125765,True,2,76,0.3596673596673597,CLES,0.2806652806652806,0.5438244889487366,True,True,True,True
Educational Level,Q1,Kruskal-Wallis,4.596381379800851,0.20385272510501787,False,4,76,0.022171963608345155,ε²,,0.5761040319568932,True,True,True,False
Educational Level,Q2,Kruskal-Wallis,2.1791998841635403,0.5360569572001395,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Educational Level,Q3,Kruskal-Wallis,4.259551118434148,0.23476690816953266,False,4,76,0.01749376553380761,ε²,,0.4676972460772151,False,False,False,False
Educational Level,Q4,Kruskal-Wallis,2.383416711199621,0.49672906192571464,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Educational Level,Q5,Kruskal-Wallis,0.2328202110108499,0.9721247657295575,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Educational Level,Q6,Kruskal-Wallis,5.111422437980923,0.16381771451785013,False,4,76,0.029325311638623928,ε²,,0.7147313116075515,True,True,True,False
Educational Level,Q7,Kruskal-Wallis,3.3524370633489524,0.3404108102907552,False,4,76,0.004894959213179895,ε²,,0.1510827836622195,False,False,False,False
Educational Level,Q8,Kruskal-Wallis,1.8485306921658886,0.6044314817232692,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Educational Level,Q9,Kruskal-Wallis,2.6856785649154635,0.4426665612001104,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Educational Level,Q10,Kruskal-Wallis,2.1940155395110272,0.5331280850428599,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Employment Status,Q1,Kruskal-Wallis,2.676238398457843,0.44428044429015945,False,3,75,0.009263539704901957,ε²,,0.23545099773244477,False,False,False,False
Employment Status,Q2,Kruskal-Wallis,7.301574317392501,0.0628821463246471,False,3,75,0.07262430571770549,ε²,,0.9717095868266664,True,True,True,False
Employment Status,Q3,Kruskal-Wallis,5.239247252664523,0.15509347919463315,False,3,75,0.04437325003650031,ε²,,0.8329047635242308,True,True,True,False
Employment Status,Q4,Kruskal-Wallis,0.6966088460653789,0.8740012915096546,False,3,75,0.0,ε²,,-0.95,False,False,False,False
Employment Status,Q5,Kruskal-Wallis,0.4876463113433899,0.9215969591982116,False,3,75,0.0,ε²,,-0.95,False,False,False,False
Employment Status,Q6,Kruskal-Wallis,3.664696198742888,0.3000213374298461,False,3,75,0.022804057517025866,ε²,,0.5245755100706128,True,True,True,False
Employment Status,Q7,Kruskal-Wallis,0.7410737999944914,0.8635030450942965,False,3,75,0.0,ε²,,-0.95,False,False,False,False
Employment Status,Q8,Kruskal-Wallis,1.3127735515232013,0.726102128105498,False,3,75,0.0,ε²,,-0.95,False,False,False,False
Employment Status,Q9,Kruskal-Wallis,1.792938169995034,0.6164728736767309,False,3,75,0.0,ε²,,-0.95,False,False,False,False
Employment Status,Q10,Kruskal-Wallis,1.2867369218871698,0.7322849094509223,False,3,75,0.0,ε²,,-0.95,False,False,False,False
Living Situation,Q1,Kruskal-Wallis,3.6491422083992,0.30192776395505916,False,4,76,0.009015864005544445,ε²,,0.252082646030215,False,False,False,False
Living Situation,Q2,Kruskal-Wallis,7.070624757280288,0.06968046590300812,False,4,76,0.05653645496222622,ε²,,0.9588818938121291,True,True,True,False
Living Situation,Q3,Kruskal-Wallis,3.813476653329411,0.2823224566569704,False,4,76,0.011298286851797377,ε²,,0.3106721539191647,False,False,False,False
Living Situation,Q4,Kruskal-Wallis,9.118348717193117,0.027758064221034228,True,4,76,0.08497706551657107,ε²,,0.9969529781057974,True,True,True,False
Living Situation,Q5,Kruskal-Wallis,0.17617316561075164,0.9813408882191302,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Living Situation,Q6,Kruskal-Wallis,3.3557324456271767,0.33996074797644654,False,4,76,0.004940728411488565,ε²,,0.15214596887519338,False,False,False,False
Living Situation,Q7,Kruskal-Wallis,2.499312768326756,0.4754152942983597,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Living Situation,Q8,Kruskal-Wallis,1.343477744513607,0.7188356505061286,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Living Situation,Q9,Kruskal-Wallis,8.256739160740095,0.040993237760770296,True,4,76,0.07301026612139021,ε²,,0.9902931627584417,True,True,True,False
Living Situation,Q10,Kruskal-Wallis,10.788705477799256,0.01292505331778346,True,4,76,0.10817646496943412,ε²,,0.9997472051884949,True,True,True,False
Physical Activity Level,Q1,Kruskal-Wallis,0.5967516751466283,0.8971755989032499,False,4,76,0.0,ε²,,-0.95,False,False,False,False
Physical Activity Level,Q2,Kruskal-Wallis,4.096680779199217,0.25121182332552183,False,4,76,0.015231677488878017,ε²,,0.41149883823901934,False,False,False,False
Physical Activity Level,Q3,Kruskal-Wallis,10.420291074684169,0.015311472950666403,True,4,76,0.10305959825950234,ε²,,0.99955042247127,True,True,True,False
Physical Activity Level,Q4,Kruskal-Wallis,5.812553765004634,0.12109468314518292,False,4,76,0.03906324673617548,ε²,,0.8467091938821557,True,True,True,False
Physical Activity Level,Q5,Kruskal-Wallis,4.699785909065802,0.19514723203794188,False,4,76,0.023608137625913912,ε²,,0.6067550397424492,True,True,True,False
Physical Activity Level,Q6,Kruskal-Wallis,4.51883671455491,0.21061623689277606,False,4,76,0.02109495436881819,ε²,,0.5522543381518555,True,True,True,False
