Variable1,Variable2,Method,Correlation,p_value,Significant,n,Power,Normality_Var1,Normality_Var2,Passed_Correlation_Filter,Passed_Power_Filter,Passed_Any_Filter,Passed_All_Filters
Q1,Q2,Pearson,0.6580742217798956,1.050064321266362e-10,True,76,0.9999992838151605,False,False,True,True,True,True
Q1,Q3,Pearson,-0.2622971124243916,0.022079828511138586,True,76,0.6360454919852907,False,False,False,True,True,False
Q1,Q4,Pearson,0.29583960804421544,0.00946775852180308,True,76,0.7455764172329471,False,False,False,True,True,False
Q1,Q5,Pearson,-0.16160231784902424,0.16312035888766596,False,76,0.28825862497505667,False,False,False,False,False,False
Q1,Q6,Pearson,0.42002399659002,0.00015854868388497626,True,76,0.9704536942245248,False,False,False,True,True,False
Q1,Q7,Pearson,-0.15273029359574386,0.18778920153658152,False,76,0.26229970771116085,False,False,False,False,False,False
Q1,Q8,Pearson,-0.23402817957811806,0.041876246141093,True,76,0.5354369045657554,False,False,False,False,False,False
Q1,Q9,Pearson,0.025031448750989723,0.830051032478075,False,76,0.05510648275377553,False,False,False,False,False,False
Q1,Q10,Pearson,0.1683471184024114,0.1460321415216368,False,76,0.3088533551006231,False,False,False,False,False,False
Q2,Q3,Pearson,-0.398924810228795,0.0003576506031953017,True,76,0.9525104436446254,False,False,False,True,True,False
Q2,Q4,Pearson,0.44408251720578307,5.8596396215734626e-05,True,76,0.9838886367993349,False,False,False,True,True,False
Q2,Q5,Pearson,-0.2434295045750486,0.034091676486306996,True,76,0.5693177364665688,False,False,False,False,False,False
Q2,Q6,Pearson,0.4014819304872102,0.0003249925568748079,True,76,0.9550436478805702,False,False,False,True,True,False
Q2,Q7,Pearson,-0.2066517821717239,0.07328075609295379,False,76,0.43709514926499327,False,False,False,False,False,False
Q2,Q8,Pearson,-0.21160746914074804,0.06650308673686668,False,76,0.4546927470884442,False,False,False,False,False,False
Q2,Q9,Pearson,0.08627186714958418,0.45868183776366567,False,76,0.11504106389257522,False,False,False,False,False,False
Q2,Q10,Pearson,0.3024486155584274,0.007919332859241911,True,76,0.7651680877571341,False,False,False,True,True,False
Q3,Q4,Pearson,-0.253443822024766,0.02717070053966377,True,76,0.6050278128812702,False,False,False,True,True,False
Q3,Q5,Pearson,0.5211313068287442,1.3896121619118178e-06,True,76,0.9986740127076461,False,False,False,True,True,False
Q3,Q6,Pearson,-0.24740061222553555,0.031188472795233978,True,76,0.5835407257115856,False,False,False,False,False,False
Q3,Q7,Pearson,0.37061948077533985,0.0009819694623269435,True,76,0.9168484898837908,False,False,False,True,True,False
Q3,Q8,Pearson,0.20692499482842555,0.07289321614527343,False,76,0.43806136561239617,False,False,False,False,False,False
Q3,Q9,Pearson,-0.14737754145839893,0.203919191158868,False,76,0.2472959419728257,False,False,False,False,False,False
Q3,Q10,Pearson,-0.38123439106692597,0.0006794799407528225,True,76,0.9319414610922688,False,False,False,True,True,False
Q4,Q5,Pearson,-0.004285300114784918,0.9706928017744106,False,76,0.049946569060603185,False,False,False,False,False,False
Q4,Q6,Pearson,0.37427837332426783,0.0008661247782139857,True,76,0.922295980945597,False,False,False,True,True,False
Q4,Q7,Pearson,-0.061314190610162175,0.5987760808956494,False,76,0.08221548554068556,False,False,False,False,False,False
Q4,Q8,Pearson,0.06151289186007453,0.597589738609892,False,76,0.08242986890110926,False,False,False,False,False,False
Q4,Q9,Pearson,0.20824187465288033,0.07104826480712878,False,76,0.4427253066314545,False,False,False,False,False,False
Q4,Q10,Pearson,0.20805270406562515,0.07131096292951586,False,76,0.44205464957922996,False,False,False,False,False,False
Q5,Q6,Pearson,-0.04221099453982158,0.717314951614914,False,76,0.06500320857020779,False,False,False,False,False,False
Q5,Q7,Pearson,0.6230913072459603,1.845617851548204e-09,True,76,0.9999918823459888,False,False,True,True,True,True
Q5,Q8,Pearson,0.33390705205857435,0.0032004902024687976,True,76,0.8470612398789039,False,False,False,True,True,False
Q5,Q9,Pearson,-0.03972905491970456,0.7332960812453702,False,76,0.0632520637326995,False,False,False,False,False,False
Q5,Q10,Pearson,-0.3435649687190875,0.0023771243779244187,True,76,0.8681468974295892,False,False,False,True,True,False
Q6,Q7,Pearson,0.05357238635777298,0.645786645157906,False,76,0.07443457086868809,False,False,False,False,False,False
Q6,Q8,Pearson,-0.33980919778106045,0.0026715459943260937,True,76,0.8601802029762603,False,False,False,True,True,False
Q6,Q9,Pearson,0.20742130405504028,0.07219342759400085,False,76,0.43981781640403916,False,False,False,False,False,False
Q6,Q10,Pearson,0.27147566632566594,0.01768338749548042,True,76,0.6674418148252629,False,False,False,True,True,False
Q7,Q8,Pearson,0.35965424987472727,0.0014181804382647385,True,76,0.8989259429843053,False,False,False,True,True,False
Q7,Q9,Pearson,-0.12749077424616648,0.27242094397822314,False,76,0.19619270613210785,False,False,False,False,False,False
Q7,Q10,Pearson,-0.1699298397657482,0.14222409355788346,False,76,0.31378785365677825,False,False,False,False,False,False
Q8,Q9,Pearson,-0.01697900195440763,0.8842554777806333,False,76,0.052232073979263174,False,False,False,False,False,False
Q8,Q10,Pearson,-0.3349361244413138,0.003102028094909391,True,76,0.8494012156140927,False,False,False,True,True,False
Q9,Q10,Pearson,0.03640239513244368,0.7548940651583541,False,76,0.06107650707793002,False,False,False,False,False,False
